Country;GINI;round
Austria;;1990
Belgium;;1990
Czechia;;1990
Germany;29.5;1990
Denmark;;1990
Spain;32;1990
Finland;22.9;1990
France;32.1;1990
Hungary;;1990
Ireland;;1990
Iceland;;1990
Italy;32.6;1990
Malta;;1990
Netherlands;31.1;1990
Norway;25.2;1990
Poland;;1990
Portugal;;1990
Slovak Republic;;1990
Sweden;;1990
Austria;29.7;1999
Belgium;33.1;1999
Czechia;;1999
Germany;29;1999
Denmark;23.8;1999
Spain;34.3;1999
Finland;27.2;1999
France;32.5;1999
Hungary;;1999
Ireland;33;1999
Iceland;;1999
Italy;36.7;1999
Malta;;1999
Netherlands;28.1;1999
Norway;27.4;1999
Poland;;1999
Portugal;;1999
Slovak Republic;;1999
Sweden;27.2;1999
Austria;30.4;2008
Belgium;28.4;2008
Czechia;26.3;2008
Germany;30.9;2008
Denmark;25.2;2008
Spain;34.2;2008
Finland;27.8;2008
France;33;2008
Hungary;27.5;2008
Ireland;30.9;2008
Iceland;31.8;2008
Italy;33.8;2008
Malta;29;2008
Netherlands;29.3;2008
Norway;27;2008
Poland;33.5;2008
Portugal;36.6;2008
Slovak Republic;26;2008
Sweden;28.1;2008
Austria;29.7;2017
Belgium;27.4;2017
Czechia;24.9;2017
Germany;31.9;2017
Denmark;28.7;2017
Spain;34.7;2017
Finland;27.4;2017
France;31.6;2017
Hungary;30.6;2017
Ireland;31.4;2017
Iceland;26.1;2017
Italy;35.9;2017
Malta;29.2;2017
Netherlands;28.5;2017
Norway;27;2017
Poland;29.7;2017
Portugal;33.8;2017
Slovak Republic;23.2;2017
Sweden;28.8;2017
