Country;gini;round
Austria;30.4;1999
Belgium;28.4;1999
Czech Republic;26.3;1999
Germany;30.9;1999
Denmark;25.2;1999
Spain;34.2;1999
Finland;27.8;1999
France;33;1999
Hungary;27.5;1999
Ireland;30.9;1999
Iceland;31.8;1999
Italy;33.8;1999
Malta;29;1999
Netherlands;29.3;1999
Norway;27;1999
Poland;33.5;1999
Portugal;36.6;1999
Slovakia;26;1999
Sweden;28.1;1999
Austria;29.7;2008
Belgium;27.4;2008
Czech Republic;24.9;2008
Germany;31.2;2008
Denmark;28.7;2008
Spain;34.7;2008
Finland;27.4;2008
France;31.6;2008
Hungary;30.6;2008
Ireland;31.4;2008
Iceland;26.1;2008
Italy;35.9;2008
Malta;29.2;2008
Netherlands;28.5;2008
Norway;27;2008
Poland;29.7;2008
Portugal;33.8;2008
Slovakia;23.2;2008
Sweden;28.8;2008
