Country,round,NetMper1000,NetMpc
Austria,2,7.763371256,0.007763371
Belgium,2,0.677409778,0.00067741
Czech Republic,2,-0.405192699,-0.000405193
Germany,2,6.042247237,0.006042247
Denmark,2,1.837991075,0.001837991
Spain,2,-0.982985141,-0.000982985
Finland,2,1.777624116,0.001777624
France,2,0.196469269,0.000196469
Hungary,2,1.691249305,0.001691249
Ireland,2,-2.328702489,-0.002328702
Iceland,2,-3.802594712,-0.003802595
Italy,2,0.374969763,0.00037497
Malta,2,1.71104272,0.001711043
Netherlands,2,2.165199368,0.002165199
Norway,2,0.446778749,0.000446779
Poland,2,-1.082213427,-0.001082213
Portugal,2,-3.376065713,-0.003376066
Slovakia,2,-1.911991405,-0.001911991
Sweden,2,2.070842585,0.002070843
Austria,3,2.473373202,0.002473373
Belgium,3,2.801664982,0.002801665
Czech Republic,3,0.523344347,0.000523344
Germany,3,1.059460932,0.001059461
Denmark,3,2.516254372,0.002516254
Spain,3,4.22647209,0.004226472
Finland,3,0.683770744,0.000683771
France,3,1.283658285,0.001283658
Hungary,3,1.427102045,0.001427102
Ireland,3,6.225388078,0.006225388
Iceland,3,4.167552933,0.004167553
Italy,3,0.702469909,0.00070247
Malta,3,4.654546956,0.004654547
Netherlands,3,1.701040369,0.00170104
Norway,3,4.291208726,0.004291209
Poland,3,-0.637657196,-0.000637657
Portugal,3,4.821572647,0.004821573
Slovakia,3,-0.018902821,-1.89E-05
Sweden,3,2.997784796,0.002997785
Austria,4,3.064232681,0.003064233
Belgium,4,4.849405316,0.004849405
Czech Republic,4,2.870692312,0.002870692
Germany,4,2.578355254,0.002578355
Denmark,4,2.568615491,0.002568615
Spain,4,9.374091621,0.009374092
Finland,4,2.93202148,0.002932021
France,4,1.997943575,0.001997944
Hungary,4,1.660060561,0.001660061
Ireland,4,4.309791819,0.004309792
Iceland,4,3.53481573,0.003534816
Italy,4,7.026550566,0.007026551
Malta,4,2.242420837,0.002242421
Netherlands,4,1.41107712,0.001411077
Norway,4,9.203449847,0.00920345
Poland,4,-0.549392341,-0.000549392
Portugal,4,0.94789091,0.000947891
Slovakia,4,0.141469983,0.00014147
Sweden,4,5.495769519,0.00549577
Austria,5,5.180182791,0.005180183
Belgium,5,4.944810437,0.00494481
Czech Republic,5,0.265139123,0.000265139
Germany,5,5.211935947,0.005211936
Denmark,5,4.022216903,0.004022217
Spain,5,3.594405849,0.003594406
Finland,5,2.415846588,0.002415847
France,5,0.196882693,0.000196883
Hungary,5,1.843488218,0.001843488
Ireland,5,6.073984459,0.006073984
Iceland,5,24.21665696,0.024216657
Italy,5,1.164169661,0.00116417
Malta,5,23.15389563,0.023153896
Netherlands,5,3.536510022,0.00353651
Norway,5,4.09022757,0.004090228
Poland,5,-0.052218804,-5.22E-05
Portugal,5,0.509111385,0.000509111
Slovakia,5,0.651194875,0.000651195
Sweden,5,8.030167539,0.008030168
