Country,round,KOFGI
Austria,1990,74
Austria,1999,84
Austria,2008,88
Austria,2017,88
Belgium,1990,80
Belgium,1999,86
Belgium,2008,89
Belgium,2017,90
Czech Republic,1990,65
Czech Republic,1999,73
Czech Republic,2008,82
Czech Republic,2017,85
Germany,1990,74
Germany,1999,81
Germany,2008,87
Germany,2017,89
Denmark,1990,77
Denmark,1999,84
Denmark,2008,88
Denmark,2017,88
Spain,1990,65
Spain,1999,77
Spain,2008,82
Spain,2017,86
Finland,1990,70
Finland,1999,81
Finland,2008,86
Finland,2017,88
France,1990,73
France,1999,80
France,2008,86
France,2017,88
Hungary,1990,59
Hungary,1999,75
Hungary,2008,84
Hungary,2017,84
Ireland,1990,72
Ireland,1999,80
Ireland,2008,83
Ireland,2017,86
Iceland,1990,54
Iceland,1999,71
Iceland,2008,75
Iceland,2017,72
Italy,1990,68
Italy,1999,77
Italy,2008,81
Italy,2017,83
Malta,1990,55
Malta,1999,65
Malta,2008,76
Malta,2017,77
Netherlands,1990,78
Netherlands,1999,85
Netherlands,2008,88
Netherlands,2017,91
Norway,1990,74
Norway,1999,81
Norway,2008,84
Norway,2017,85
Poland,1990,51
Poland,1999,66
Poland,2008,78
Poland,2017,81
Portugal,1990,59
Portugal,1999,75
Portugal,2008,81
Portugal,2017,84
Slovak Republic,1990,56
Slovak Republic,1999,63
Slovak Republic,2008,81
Slovak Republic,2017,83
Sweden,1990,75
Sweden,1999,85
Sweden,2008,89
Sweden,2017,89
